smiles1,smiles2,ged
C1C2C1C1OC21,CN1CC(=NO)C1,7
CC(C)OC,CC(=O)C1CN1,5
C1CCCC1,O=C1OC2CC12,4
C1C2CCOC12,c1conc1N,8
CC#N,CC(=NO)CC=O,9
C#CC#C,C1CNC(=O)N1,8
CC(C)O,C#CCN1CC1,7
CC#CC#C,CCCNC=O,5
CC1CCCC1,c1c(coc1N)N,9
C1CN1C=O,c1[nH]cnn1,8
C(C(=O)C=O)O,C1C2(N1)COC2,6
C1C(=NO)CN1,OC1C2CC1O2,5
N=C1OC=NC=N1,c1nc(c(o1)N)O,8
c1cnccn1,CC(=NO)CCO,10
c1c(oc(n1)O)N,OC1=CNC(=N)O1,8
CNC(=O)OC,c1cncnc1N,10
c1conc1O,NC1=COC(=N)O1,9
C1C=CC2NC12,C#CC(=NO)CO,7
C#CC#C,CC1(C)CC1O,7
CC1C2COC12,Cc1nc(co1)O,9
COCCC=O,N=C1OC=NO1,6
C#CCCC#C,CCCCC#C,1
CC1(CC1)C#C,c1cncnc1O,10
N=C1OCC=C1,C(CC=O)C=O,4
CC1CC(=O)N1,COCCC#N,5
C(C#N)NC=O,Cc1cnoc1,7
OC1COC1=O,ON=C1CCC1O,4
c1nc(no1)N,Cc1coc(=O)o1,10
CC(=O)C(=N)N,ON=C1CCC1O,5
NC1COC1=O,Cn1cccc1O,6
CCNC(=O)N,CC(C)COC,5
CC(C)(C)C#N,O=CCC1CO1,6
C1C2C1C1NC21,c1c(nc([nH]1)N)O,11
CN(C=N)C=O,Cc1cncn1C,6
C1C(CO1)O,CN1CCC1=O,5
CC#CC#N,c1cnoc1N,7
CC(C)(C#C)O,CC1C2CCC12,6
NCC(O)C#N,COCC1CO1,5
c1[nH]ncn1,CC1NC1CO,10
C#N,N=C1OC2CC12,11
COC(C)=N,CCC#CCO,6
CCC(C)C,CC1C2COC12,4
OCC1CO1,CC(=NC)OC,6
c1cc([nH]c1)N,C1C2C3OC1C23,9
c1coc(n1)N,CC1=CCOC1,8
CC#CC1CN1,c1c[nH]c(c1N)O,9
c1cnccn1,c1cnc(cn1)O,2
C(C=O)OC=O,Cc1c(nc[nH]1)C,10
c1cnc[nH]1,CC1=CCCC1,9
c1coc(n1)N,Cc1[nH]cc(n1)O,4
C1CC1CC#N,C1OC2COC12,6
C1CC1(C=O)O,OCCC1CO1,4
CC(=O)N,c1c([nH]c(=O)[nH]1)N,8
CC(C)O,c1c(nc(o1)N)N,11
OCC1CN1,CC1(CCO1)C,5
C1CNC1=O,CC1COC1,4
CC(O)CO,Cc1ncon1,8
COC(C)C#N,CCOCC#C,3
c1cnn[nH]1,C1CCOCC1,11
Cn1cccc1,CC(=NO)C(=NO)C,8
CC(=O)CC#C,C1C2C3CC1C23,6
COC(=O)C#C,CC(O)C1CO1,4
CC(=O)CO,CCCCC#N,6
c1cn[nH]n1,c1cc(oc1)N,5
CC(C)C#C,CC(C)CC=O,3
CC1(CCO1)C,CC1(CN1C)C,3
CCC#CCC,N=C1N=CNC=N1,7
CCCOC,c1c(nc(o1)N)N,9
c1c(c[nH]c1O)O,c1coc(=O)cn1,8
C#CC=O,CC1C2CC1O2,8
CC(=NO)C#C,COC(=O)C#C,5
CC1CC1C,c1c(nc[nH]1)N,9
O=C1CC2NC12,c1cc[nH]c(=O)c1,6
CC(C#N)C#N,C(C#CC#N)O,4
CCC#CC=O,c1c(oc(=O)o1)O,6
C(C=O)O,OC1=CNC(=N)O1,10
c1nnno1,c1cocnc1=O,12
CC(=O)CC=O,COCCC=O,3
C1C2CC1OC2,Cn1ccnc1O,5
Cc1ccco1,N#CCC1CO1,7
c1ncon1,c1c(onn1)N,4
NC(=O)OC=N,O=CC1CCO1,6
C#CC(=O)N,Cc1ncno1,7
CC(C)(C)C,CC1NC1C#C,6
CCC(=O)CO,C1CN=COC1,5
c1[nH]nc(n1)O,Cn1cc(nc1)N,9
CC1(CCC1)O,CCCCC#N,4
CC(C)C(C)O,CC(O)C(C)O,1
c1coc(n1)N,CC#CC(=O)C,7
C1CN=COC1,Cc1cncn1C,6
C1CN1CCO,CC(=NO)C1CC1,5
CC1OC1CO,Cc1ccncc1,10
Cc1cc[nH]c1,CC1C(C)C1O,7
CC(C)C=O,CCOCC#N,7
CC1(CCO1)C,Cc1c[nH]c(n1)O,8
CC(C)C#C,Cc1cc([nH]c1)N,8
C#CC#CC#N,C1C2(CO1)CO2,7
CN1CC(=O)C1,c1c(coc1N)O,9
CC(C)OC=O,c1c(cn[nH]1)O,8
CC(C)C,C(=O)C(=O)N,5
c1nnno1,CN=COC=O,9
c1cc(oc1)N,c1(nnon1)O,5
CCCC#CC,c1cnnnn1,10
OC1CCOC1,c1cc([nH]c1N)N,10
N=C1NN=NN1,C#CC(=NO)C#C,9
CC1(CC1)C,CNC(=N)C=O,6
C1C=CCC1=NO,Cc1coc(=O)o1,6
C1COC1=O,CC1OC1C#C,6
CCC1(C)CO1,N=C1NC=NC=N1,9
CNC(=O)CO,C1CN=COC1,5
CC(C)(C#C)O,C1COCOC1,7
CC1CC1C=O,c1[nH]c(=O)on1,5
NC1COC1=N,N=C1N=COC=N1,6
C1CCC1,C1CC1C2CC2,7
CNC=O,C1C(=NO)CO1,7
CC1NC1C=O,Cc1ccc([nH]1)C,9
C1CC1O,CC1C(C)C1C,5
C#CCC=O,Cc1ncccn1,10
C(CC=O)CO,C1OCC2NC12,5
COCC#C,C1C2CC1OC2,5
C#CCO,OCC1CC1O,6
CCC(C)(C)C,c1c(c[nH]c1O)O,9
C#N,C(CO)C=O,8
c1cocn1,c1c(coc1N)O,5
CC#CC(C)O,Cc1c(cco1)N,7
CNC(=O)C=O,c1c(cncn1)N,10
C(=O)C(=O)C=O,CC1(CO1)C=O,4
c1cnn[nH]1,CC1NCC1=NO,11
CC(O)CCO,C1CC(C1)CO,4
C1CC(=NO)C=C1,c1cnc(cn1)N,10
CC1CC1(C)O,Cc1ccccc1,9
CC#CC1CC1,C1C2C3CN2C13,6
NC(CO)C#N,C1COCOC1,6
C(C#N)OC=O,C#CC(=NO)C#C,7
OC1CCC=C1,C(CC#N)C=O,4
CCCC#N,CC1(CC1)C=O,5
CC(C)CC=O,CC1COC1C,3
CN1CC1,c1c(oc(=O)o1)O,9
c1cncnc1,c1nc(on1)N,5
